OBS,VNM_CAN_0,VNM_CANOTH_0,VNM_CANRATIO_0,VNM_CLIMLOSS_0,VNM_CMUD_0,VNM_CO2_0,VNM_COALC_0,VNM_CTAX_0,VNM_CTAXR_0,VNM_CXS_0,VNM_CXUD_0,VNM_DEP_0,VNM_EC_0,VNM_EFEX_0,VNM_EFF_0,VNM_ENAB_0,VNM_EXP_0,VNM_EXPE_0,VNM_EXPEB_0,VNM_EXPH_0,VNM_EXPHB_0,VNM_EXPSP_0,VNM_EXPSPB_0,VNM_EXR_0,VNM_FINC_0,VNM_FUELSH_0,VNM_GASC_0,VNM_GCARB_0,VNM_GCARBB_0,VNM_GCARBR_0,VNM_GCARBRB_0,VNM_GCOM_0,VNM_GCR_0,VNM_GDFXSH_0,VNM_GDI_0,VNM_GDN_0,VNM_GDNRATIO_0,VNM_GINI_DISP_0,VNM_GINT_0,VNM_GIP_0,VNM_GLN_0,VNM_GLNRATIO_0,VNM_GLNT_0,VNM_GOTH_0,VNM_GTRADE_0,VNM_GTRADER_0,VNM_HEAD19_0,VNM_HEAD55_0,VNM_HIC_0,VNM_IGR_0,VNM_INFT_0,VNM_INT_0,VNM_IPR_0,VNM_ITAX_0,VNM_ITAXR_0,VNM_ITR_0,VNM_K_0,VNM_KSTAR_0,VNM_LABSH_0,VNM_LFN_0,VNM_LIVES_0,VNM_LNN_0,VNM_LNNF_0,VNM_LOCK_0,VNM_LRX_0,VNM_LTI_0,VNM_MTD_0,VNM_MTN$_0,VNM_MTN_0,VNM_MTR$_0,VNM_MTR_0,VNM_OGC_0,VNM_OGI_0,VNM_OILC_0,VNM_OMS_0,VNM_OXS_0,VNM_PC_0,VNM_PCR_0,VNM_PE_0,VNM_PG_0,VNM_PM25_0,VNM_POIL_0,VNM_POPT_0,VNM_POPWA_0,VNM_PR_0,VNM_PREM_0,VNM_PROF_0,VNM_RC_0,VNM_REFEX_0,VNM_REL_RED_0,VNM_REMIT_0,VNM_REV_0,VNM_REVG_0,VNM_RPDI_0,VNM_SCR_0,VNM_SDLI_0,VNM_SHAREE_0,VNM_SHAREH_0,VNM_SHARESP_0,VNM_SHAREX_0,VNM_SOLV_0,VNM_TAX_0,VNM_TAXR_0,VNM_TECHL_0,VNM_TFP_0,VNM_TOURSH_0,VNM_URX_0,VNM_URXF_0,VNM_USER_0,VNM_WDR_0,VNM_XTD$_0,VNM_XTDNO$_0,VNM_XTN$_0,VNM_XTN_0,VNM_XTR$_0,VNM_XTR_0,VNM_YBAR_0,VNM_YED_0,VNM_YEN$_0,VNM_YEN_0,VNM_YER$_0,VNM_YER_0,VNM_YFT$_0,VNM_YFT_0,WLD_CO2_0,WLD_COALC_0,WLD_DD$_0,WLD_EC_0,WLD_GASC_0,WLD_HIC_0,WLD_LOCK_0,WLD_MTN$_0,WLD_MTR$_0,WLD_OILC_0,WLD_PC_0,WLD_PE_0,WLD_PG_0,WLD_POIL_0,WLD_POPT_0,WLD_POPWA_0,WLD_PR_0,WLD_RC_0,WLD_TECHL_0,WLD_XTN$_0,WLD_XTR$_0,WLD_YEN$_0,WLD_YER$_0,WLD_YFT$_0,USA_INFT_0,USA_INT_0
2010,-4.2760000000,-3.0149415058,-3.6883770007,24080.3456208668,1.0430222940,136.1131000000,0.6093264860,148655.0000000000,0.1413215005,0.3214089273,1.0664403313,0.0297789628,1.8728730106,1.0753519386,0.6152324376,0.6500000000,649907.0000000000,8690.7820741258,8690.7820741258,61960.9094258576,61960.9094258576,118946.2496143010,118946.2496143010,18612.9166666667,21.3694934845,0.0230334006,0.3266254800,-57941.6206842481,-57941.6206842481,-22.8705327111,-22.8705327111,31353.6106647892,188393.2002595790,0.5120000000,3009337.8231930300,1009568.5750000000,46.7863321358,34.9000000000,2.5159261717,25400.0000000000,-61671.2816896710,-2.8580258338,-2.8580258338,135307.7283297880,74068.0000000000,0.0476724025,4.0000000000,46.8000000000,0.6917312343,233058.4603876730,5.0000000000,9.0000000000,641929.9366341820,218649.0000000000,0.1477857577,874988.3970218560,7537294.2744152300,7419413.2485161600,0.4567171711,51252.4421073921,0.2210000000,50683.5400000000,24175.0360000000,0.0000000000,0.8337215109,13.1352500000,0.8236958186,92.9946588224,1730901.8351072000,96.8488635412,2101384.7539825200,194408.7948295900,240500.2640561250,0.6682233270,0.0771442023,0.0790571377,4.8699145849,2138836.2029935100,12.0860193633,9.0324600395,39.3653969876,11.4749939721,87967.6550000000,61474.2950000000,33.6814222457,324.1208263677,1051892.3124363500,0.2686977177,0.8528188277,13.8271604938,153742.6919420000,588235.7183103290,11868.0000000000,1651878.4919473900,54266.1370032941,0.6397526100,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26276.0000000000,0.0240321608,3.4328436725,-0.0015213241,0.0369096863,1.1100000000,1.0800000000,12.9421503927,833.6899580729,0.9097204849,0.8573520946,83.4736003134,1553687.1665000000,91.7574152678,1990912.7113992200,7.1683033847,0.6858931473,115.9317499049,2157828.0000000000,144.9937600007,3146011.8946949400,144.0583249519,3125715.2295799000,32051.0227000000,150.7142368595,64596.1223965153,506.1590931116,113.6619176739,0.8334211849,0.0000000000,18451.5100557145,17461.2206075794,172.4497490806,105.4308333333,13.4742910954,10.9093905087,79.6347504705,6956823.5880000000,4553594.2950000000,0.1212531201,69.3331894975,15.4515414290,19071.0781663635,17588.9601693627,66272.5592426279,64723.8619582986,65387.1584832870,2.0000000000,0.1366666667
2011,0.2330000000,-2.7654024379,0.1719056848,25583.0306264376,1.1117450413,145.0478000000,0.7261572480,196058.0000000000,0.1446785216,0.3234391711,1.1490688504,0.0344377833,2.1315894241,0.9386789964,0.6306132485,0.6500000000,751298.0000000000,9770.4170230021,9770.4170000000,71511.1342214326,71511.1300000000,142669.1290189900,142669.1000000000,20509.7500000000,21.3694934845,0.0253970000,0.2945952000,-77106.2262024408,-77106.2300000000,-25.9189817165,-25.9189800000,38345.0899573242,201812.4989193500,0.5120000000,3192247.8493177400,1266472.1663710600,45.5585193020,34.9000000000,2.3518874548,29786.0000000000,-31892.7686257520,-1.1472714155,-1.1472710000,157257.3713742480,81406.0000000000,0.0368858489,3.3500000000,43.8000000000,0.8209309423,206307.1935698640,5.0000000000,15.0000000000,600315.9761135000,272873.0000000000,0.1492926479,806623.1696833650,8084349.7370802400,8048390.0000000000,0.4594635820,52144.0676767677,0.1380000000,51622.6270000000,24611.5630000000,0.0000000000,0.8385704874,16.9538333333,1.0614373799,113.2075465150,2321858.4771360000,100.8161988781,2187466.2802509900,246040.8530000000,251520.5254558590,0.7266738820,0.0979634775,0.0879023035,5.9380663027,2226463.1899919200,15.2387234611,12.4788644161,38.4869747980,16.4097249149,88871.3840000000,62182.0925734628,32.7204773451,397.8290943030,1355128.5836941400,0.3841630941,0.8476017990,13.6138613861,176383.8500000000,719405.2313742480,12103.0000000000,1803662.8265646100,89278.6701539271,0.6397526100,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,38469.0000000000,0.0289180207,3.4569144889,0.0110596635,0.0406972000,1.0000000000,0.9000000000,18.0021337626,939.9391790201,1.0585623401,0.9562754791,107.6059449774,2206971.0300000000,101.6529125415,2205620.9314404600,7.4890404942,0.8317186001,135.5394385597,2779880.0000000000,154.0418007758,3342332.3701539300,153.0419982554,3320639.0874822700,33100.0654000000,158.1947097102,66973.3023410876,518.7950424252,116.4138863567,0.8753639151,0.0000000000,21951.8998981568,18797.6717400405,174.1615602008,125.7366666667,16.2139932124,14.7293088296,111.0824720811,7041194.1679999900,4610817.3789647900,0.1177937184,70.0248861575,15.4665895643,22616.3519373596,18668.9804355480,73684.4126338264,66844.6110365951,67212.7049787144,2.0000000000,0.0525000000
2012,9.2670000000,-6.1918000000,5.9472470000,26925.4700000000,1.0993920000,135.6859000000,0.6739993000,215798.0000000000,0.1348310000,0.2873188000,1.1186360000,0.0336668000,2.2363650000,0.9377841000,0.6459941000,0.6500000000,955967.9000000000,10640.7600000000,10640.7600000000,90217.2400000000,90217.2400000000,172153.3000000000,172153.3000000000,20828.0000000000,24.5633100000,0.0256010000,0.3249927000,-99004.6100000000,-99004.6100000000,-35.0326600000,-35.0326600000,39093.6000000000,216318.6000000000,0.5120000000,3473717.0000000000,1561472.0000000000,48.1131000000,34.7000000000,2.5542570000,39884.0000000000,-222519.7000000000,-6.8564240000,-6.8564240000,192979.3000000000,71276.0000000000,0.0274427000,2.7000000000,40.8000000000,0.8956597000,247592.2000000000,5.0000000000,9.0000000000,574137.7000000000,258080.0000000000,0.1233975000,821729.9000000000,8633905.0000000000,8708855.0000000000,0.4642363000,52982.3500000000,0.0720000000,52436.6300000000,25096.3200000000,0.0000000000,0.8421898000,13.4716700000,1.0407120000,119.2418000000,2483567.0000000000,109.9852000000,2386411.0000000000,299860.6000000000,343212.0000000000,0.7421262000,0.0855397000,0.0811557000,3.7072650000,2335097.0000000000,15.2067100000,13.8711700000,37.2274500000,15.9388300000,89801.9300000000,62910.2200000000,30.6360300000,423.6402000000,1600508.0000000000,0.4952468000,0.8968899000,13.8957800000,208280.0000000000,733448.2000000000,10267.0000000000,1993696.0000000000,-21123.7100000000,0.6358282000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,44959.0000000000,0.0262974000,3.4947750000,0.0175764000,0.0410241000,1.0300000000,0.9300000000,13.6832800000,987.4272000000,1.0601830000,0.9651050000,124.7006000000,2597264.0000000000,117.6217000000,2552106.0000000000,7.7591530000,0.9225925000,155.8200000000,3245419.0000000000,162.1249000000,3517717.0000000000,162.5050000000,3525964.0000000000,33659.0000000000,158.9142000000,68649.7600000000,525.1575000000,119.4036000000,0.9107584000,0.0000000000,22203.0300000000,19370.0700000000,176.5767000000,105.5042000000,16.0010300000,16.7481700000,111.9596000000,7125828.0000000000,4668261.0000000000,0.1102897000,70.2629700000,15.4820500000,22944.6300000000,19406.7400000000,75257.2500000000,68686.4300000000,69110.4300000000,2.0000000000,0.0858333000
2013,7.7440000000,-6.9510990000,4.5227830000,28385.3300000000,1.0831730000,140.8932000000,0.7198940000,231146.0000000000,0.1314229000,0.2400361000,1.1251370000,0.0319495000,2.3491680000,0.9456283000,0.6613749000,0.6500000000,1094123.0000000000,14105.8400000000,14105.8400000000,107739.5000000000,107739.5000000000,197784.8000000000,197784.8000000000,20933.4200000000,27.7571300000,0.0267518000,0.3387497000,-34278.6900000000,-34278.6900000000,-11.6223500000,-11.6223500000,44096.6900000000,232023.8000000000,0.5120000000,3590745.0000000000,1852670.0000000000,51.6890300000,34.7000000000,2.9192460000,54084.0000000000,-266810.0000000000,-7.4439310000,-7.4439310000,149817.0000000000,78253.0000000000,0.0261071000,2.6500000000,37.9000000000,0.9547311000,266408.7000000000,5.0000000000,7.0000000000,598862.3000000000,300607.0000000000,0.1281976000,865271.0000000000,9223327.0000000000,9402129.0000000000,0.4643786000,54291.7700000000,0.2150000000,53575.1200000000,25678.9000000000,0.0000000000,0.8529191000,10.3741700000,1.0427480000,139.4913000000,2920030.0000000000,129.0615000000,2800321.0000000000,335355.4000000000,385053.5000000000,0.7563838000,0.0638713000,0.0598019000,4.9757270000,2456056.0000000000,15.6250000000,14.6616300000,36.8359100000,17.0074400000,90752.5900000000,63654.0700000000,28.6310100000,486.3241000000,1758796.0000000000,0.5341404000,0.9392840000,13.8957800000,230267.6000000000,827313.0000000000,11124.0000000000,2190288.0000000000,-40095.8400000000,0.6358282000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,46548.0000000000,0.0229085000,3.5439570000,0.0228389000,0.0428682000,1.3200000000,1.1400000000,9.8656950000,1049.7230000000,1.0371510000,0.9709986000,143.1864000000,2997380.0000000000,138.0574000000,2995509.0000000000,8.0498020000,0.9665140000,171.2220000000,3584262.0000000000,170.9151000000,3708443.0000000000,174.1793000000,3779268.0000000000,33869.8000000000,162.0244000000,70596.3500000000,535.1121000000,121.3543000000,0.9434654000,0.0000000000,22808.8900000000,19940.7700000000,178.4516000000,90.8966700000,15.1740600000,16.1693900000,108.8440000000,7210582.0000000000,4725831.0000000000,0.1030716000,73.2818500000,15.4979500000,23595.2600000000,19920.8500000000,77397.2400000000,70576.4300000000,71084.2400000000,2.0000000000,0.0583333000
2014,8.6170000000,-9.4812000000,4.6277040000,30083.8100000000,1.0609880000,159.5828000000,0.8698209000,207807.0000000000,0.1086700000,0.2268777000,1.1101680000,0.0299950000,2.5744760000,0.9511907000,0.6767557000,0.6500000000,1123418.0000000000,14383.1000000000,14383.1000000000,112264.9000000000,112264.9000000000,207752.8000000000,207752.8000000000,21148.0000000000,30.9509400000,0.0276407000,0.3546954000,-21899.2100000000,-21899.2100000000,-6.4889290000,-6.4889290000,46678.0400000000,248265.0000000000,0.5120000000,3874327.0000000000,2154636.0000000000,54.7159600000,34.6000000000,3.0974140000,66738.0000000000,-247675.5000000000,-6.2896030000,-6.2896030000,154008.6000000000,95603.0000000000,0.0280979000,2.6000000000,35.0000000000,0.9937276000,261461.5000000000,5.0000000000,6.5000000000,683896.7000000000,334651.0000000000,0.1292080000,945358.3000000000,9892032.0000000000,10128790.0000000000,0.4692850000,55002.1300000000,0.0380000000,54309.1100000000,26054.4500000000,0.0000000000,0.8539778000,8.6650000000,1.0362900000,154.7915000000,3273530.0000000000,145.5874000000,3158893.0000000000,351789.9000000000,370489.3000000000,0.7791915000,0.0575678000,0.0516315000,4.5967220000,2606367.0000000000,14.5022400000,15.1068500000,34.8960200000,15.7351500000,91713.8500000000,64406.9800000000,27.5388900000,452.5351000000,1912275.0000000000,0.5707679000,0.9600723000,14.1439200000,253776.0000000000,875742.5000000000,11050.0000000000,2224985.0000000000,-52548.6700000000,0.6338679000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,47844.0000000000,0.0218631000,3.5734280000,0.0138303000,0.0442926000,1.2600000000,1.1100000000,7.4770250000,1110.0450000000,1.0446230000,0.9986939000,160.8897000000,3402495.0000000000,154.0170000000,3341794.0000000000,8.3900000000,1.0019120000,186.2047000000,3937856.0000000000,181.1421000000,3930343.0000000000,184.7332000000,4008261.0000000000,34117.5700000000,162.3780000000,72616.5100000000,540.1481000000,122.2417000000,0.9736157000,0.0000000000,23250.0700000000,20566.1300000000,179.5816000000,77.8875000000,14.3208700000,16.3293000000,98.9433700000,7295291.0000000000,4783420.0000000000,0.0991400000,75.9468300000,15.5142700000,23903.9600000000,20676.3200000000,79334.8700000000,72726.7000000000,73134.2400000000,2.0000000000,0.0325000000
2015,-2.0393800000,-16.5680800000,-1.0553550000,32093.2000000000,1.0000000000,184.4356000000,1.0984440000,200030.0000000000,0.0987131000,0.1794162000,1.0000000000,0.0284987000,2.8618060000,1.0000000000,0.6921365000,0.6500000000,1254929.0000000000,15058.8000000000,15058.8000000000,129728.2000000000,129728.2000000000,231960.3000000000,231960.3000000000,21697.5700000000,30.8992300000,0.0287202000,0.3703284000,-1622.3090000000,-1622.3090000000,-0.4053944000,-0.4053944000,53100.3800000000,265544.8000000000,0.5120000000,4192862.0000000000,2394031.0000000000,57.0977700000,34.5000000000,3.4261050000,82022.0000000000,-258695.3000000000,-6.1698970000,-6.1698970000,229323.0000000000,99315.0000000000,0.0263833000,2.2000000000,31.1000000000,1.0000000000,298954.9000000000,5.0000000000,6.5000000000,734825.0000000000,347521.2000000000,0.1219569000,1033780.0000000000,10643900.0000000000,10887610.0000000000,0.4730307000,55603.9600000000,0.0520000000,54575.2900000000,26076.6800000000,0.0000000000,0.8533067000,7.1175000000,1.0000000000,171.9617000000,3731151.0000000000,171.9617000000,3731151.0000000000,374519.6000000000,421640.6000000000,0.8700629000,0.0384764000,0.0263209000,4.2176760000,2849540.0000000000,9.8021520000,9.7449250000,32.4664400000,8.5374720000,92677.0800000000,65162.9300000000,23.6763200000,397.8291000000,2026377.0000000000,0.5229705000,1.0000000000,14.3920600000,282068.4000000000,996234.2000000000,11844.0000000000,2371691.0000000000,10828.5100000000,0.6319088000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,56723.0000000000,0.0234741000,3.5971430000,0.0112180000,0.0460224000,1.8500000000,1.7000000000,5.5114230000,1120.4000000000,1.0000000000,1.0000000000,173.4904000000,3764320.0000000000,173.4904000000,3764320.0000000000,8.9875000000,1.0000000000,193.2411000000,4192862.0000000000,193.2411000000,4192862.0000000000,195.6212000000,4244504.0000000000,34043.3700000000,158.5145000000,74684.7000000000,545.0809000000,125.0878000000,1.0000000000,0.0000000000,20966.3000000000,20966.3000000000,183.4892000000,63.5166800000,9.7502100000,10.3053600000,52.3994200000,7379797.0000000000,4840924.0000000000,0.0852347000,77.9894200000,15.5309200000,21267.3400000000,21267.3400000000,74985.7400000000,74985.7400000000,75255.9800000000,2.0000000000,0.0533333000
2016,0.6245390000,-18.6337600000,0.3042433000,34086.4400000000,0.9622160000,185.4322000000,1.1886460000,188485.0000000000,0.0871483000,0.1670298000,0.9694582000,0.0271367000,3.0885310000,1.0158250000,0.7075173000,0.6500000000,1253677.0000000000,15529.9100000000,15529.9100000000,137673.9000000000,137673.9000000000,225872.3000000000,225872.3000000000,21935.0000000000,30.8475100000,0.0299501000,0.3685914000,-2247.0700000000,-2247.0700000000,-0.5524510000,-0.5524510000,57311.9000000000,285566.9000000000,0.5120000000,4586039.0000000000,2686427.0000000000,59.6621400000,34.5000000000,3.2304250000,86783.0000000000,-178429.0000000000,-3.9626820000,-3.9626820000,273899.2000000000,96125.0000000000,0.0228020000,1.8000000000,27.2000000000,1.0266820000,297902.6000000000,4.7500000000,6.5000000000,838408.8000000000,385338.0000000000,0.1227527000,1136311.0000000000,11491370.0000000000,11675020.0000000000,0.4747148000,55859.1800000000,0.1620000000,54825.7900000000,26242.3400000000,0.0000000000,0.8517279000,6.9600000000,0.9532308000,186.9293000000,4100294.0000000000,198.2467000000,4301470.0000000000,385580.9000000000,402237.0000000000,0.9307731000,0.0337050000,0.0171018000,4.7132750000,3057557.0000000000,9.2028880000,6.5436350000,30.2413100000,7.1624250000,93640.4400000000,65583.3600000000,22.8842500000,397.8291000000,2162807.0000000000,0.6005209000,1.0249300000,14.6039600000,307090.0000000000,1075248.0000000000,8378.0000000000,2485699.0000000000,-10872.7900000000,0.6319088000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,67958.0000000000,0.0264867000,3.6138380000,0.0079254400,0.0479933000,1.8500000000,1.7000000000,5.3937210000,1145.9030000000,0.9728951000,0.9751968000,192.1876000000,4215636.0000000000,197.5420000000,4286181.0000000000,9.5850000000,1.0111060000,205.2762000000,4502733.0000000000,205.2430000000,4453273.0000000000,205.8552000000,4466557.0000000000,34034.5300000000,156.4612000000,76561.0600000000,552.8303000000,127.9638000000,1.0269620000,0.0000000000,20398.8600000000,21292.3000000000,186.8301000000,71.1226400000,8.6808460000,6.9368730000,44.0475200000,7464022.0000000000,4890502.0000000000,0.0823833000,81.5751500000,15.5477800000,20921.1100000000,21737.0000000000,76173.8100000000,77005.7600000000,77318.9100000000,2.0000000000,0.3191667000
2017,-1.6508730000,-22.9218700000,-0.7377219000,36408.4900000000,0.9961214000,182.5840000000,1.1876950000,217200.0000000000,0.0892477000,0.1967257000,1.0047990000,0.0259242000,3.3068030000,1.0042510000,0.7228981000,0.6500000000,1355034.0000000000,17508.0600000000,17508.0600000000,141950.3000000000,141950.3000000000,262748.5000000000,262748.5000000000,22370.0900000000,30.7957900000,0.0324995000,0.3427448000,-4096.4910000000,-4096.4910000000,-1.0029550000,-1.0029550000,65636.1100000000,306541.6000000000,0.5120000000,4945973.0000000000,2914618.0000000000,58.2227900000,34.5000000000,3.3932740000,98901.0000000000,-123612.7000000000,-2.4693030000,-2.4693030000,335475.7000000000,97018.0000000000,0.0190765000,1.8000000000,24.8000000000,1.0628320000,328494.9000000000,4.5000000000,6.2500000000,923719.7000000000,433825.0000000000,0.1243578000,1252215.0000000000,12445680.0000000000,12484990.0000000000,0.4677175000,56466.0100000000,0.2840000000,55410.0900000000,26516.7300000000,0.0000000000,0.8555934000,7.0675000000,0.9784828000,221.0747000000,4945460.0000000000,232.9391000000,5054212.0000000000,402548.6000000000,431377.5000000000,0.9743176000,0.0358101000,0.0279885000,6.5665330000,3282289.0000000000,10.8370900000,7.6157400000,29.6267300000,8.8243440000,94600.6400000000,65996.3100000000,20.9827300000,397.8291000000,2433676.0000000000,0.8020460000,1.0264000000,14.6039600000,335551.3000000000,1231421.0000000000,7580.0000000000,2633109.0000000000,-33674.4700000000,0.6319088000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,78783.0000000000,0.0281386000,3.6331800000,0.0090464200,0.0520786000,1.8700000000,1.7000000000,5.6655560000,1223.1590000000,0.9858832000,0.9843769000,227.3457000000,5085742.0000000000,230.6010000000,5003481.0000000000,10.1825000000,1.0524180000,223.7799000000,5005975.0000000000,219.2246000000,4756640.0000000000,217.8556000000,4726937.0000000000,34447.7500000000,157.3968000000,79229.4400000000,563.1707000000,131.4323000000,1.0600300000,0.0000000000,22495.8200000000,22548.4400000000,189.4268000000,99.4222200000,9.8075340000,8.0951300000,54.4009100000,7547859.0000000000,4939699.0000000000,0.0755378000,84.9147400000,15.5646900000,23014.6200000000,22915.9700000000,81056.9300000000,79596.9700000000,79428.9800000000,2.0000000000,0.9466667000
2018,5.7688530000,-18.4628500000,2.3525820000,38984.6800000000,1.0275790000,211.7741000000,1.5822500000,251156.0000000000,0.0929893000,0.1967257000,1.0439760000,0.0255014000,3.7274910000,0.9766898000,0.7382789000,0.6500000000,1435435.0000000000,20594.3000000000,20594.3000000000,158229.6000000000,158229.6000000000,268885.8000000000,268885.8000000000,22602.0500000000,30.7957900000,0.0338554000,0.3477474000,-13825.6100000000,-13825.6100000000,-2.8884420000,-2.8884420000,72695.7200000000,325791.3000000000,0.5120000000,5253839.0000000000,3049894.0000000000,55.0290800000,34.4000000000,3.5974360000,109718.0000000000,-71565.9900000000,-1.2912610000,-1.2912610000,385562.0000000000,87333.0000000000,0.0148891000,1.8000000000,22.4000000000,1.1004560000,342504.0000000000,4.2500000000,6.2500000000,1018027.0000000000,478802.0000000000,0.1235859000,1360531.0000000000,13488830.0000000000,13309670.0000000000,0.4665951000,57027.3400000000,0.1340000000,56365.8300000000,27010.9500000000,0.0000000000,0.8589278000,7.3718750000,0.9961382000,251.2824000000,5679497.0000000000,262.7721000000,5701515.0000000000,428025.1000000000,449982.2000000000,1.0370960000,0.0358101000,0.0279885000,7.2078620000,3520581.0000000000,10.9935000000,9.3601120000,29.5000800000,11.4220500000,95545.9600000000,66393.6400000000,19.0332100000,373.4234000000,2700912.0000000000,0.7603966000,1.0085150000,14.8514900000,361632.8000000000,1363869.0000000000,7779.8650000000,2788712.0000000000,-129432.0000000000,0.6299508000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,94366.0000000000,0.0306719000,3.6427390000,0.0044599700,0.0542513000,1.1600000000,1.0300000000,6.2535230000,1296.8050000000,0.9848825000,0.9741868000,259.5141000000,5865550.0000000000,263.4975000000,5717254.0000000000,10.7800000000,1.0881800000,245.2137000000,5542332.0000000000,234.7365000000,5093210.0000000000,230.0908000000,4992412.0000000000,35152.0200000000,159.8562000000,81779.4800000000,578.6360000000,138.0541000000,1.0980310000,0.0000000000,24566.6900000000,23603.4200000000,191.2071000000,111.6931000000,11.1237300000,10.0492200000,71.0711900000,7631091.0000000000,4988373.0000000000,0.0685196000,89.5186300000,15.5815000000,25220.9700000000,23915.4300000000,86115.3500000000,82091.4900000000,81571.6400000000,2.0000000000,1.9733330000
2019,12.4776000000,-12.8799000000,4.7638730000,41720.4000000000,1.0488840000,247.7089000000,2.0672790000,273198.1000000000,0.0927072000,0.1967257000,1.0627990000,0.0229485000,4.1663500000,0.9920998000,0.7536597000,0.6500000000,1747987.0000000000,25170.4200000000,25170.4200000000,195132.3000000000,195132.3000000000,328481.1000000000,328481.1000000000,23050.2400000000,30.7957900000,0.0341637000,0.3546954000,-7031.7950000000,-7031.7950000000,-1.2315420000,-1.2315420000,79729.9700000000,344688.5000000000,0.5120000000,5709375.0000000000,3319307.0000000000,54.9795600000,34.4000000000,3.7623520000,124884.0000000000,-252146.0000000000,-4.1764370000,-4.1764370000,442658.1000000000,81100.0000000000,0.0125783000,1.4362010000,20.0736000000,1.1312300000,417448.4000000000,4.0000000000,6.0000000000,1189854.0000000000,512666.1000000000,0.1199021000,1607303.0000000000,14786590.0000000000,14140800.0000000000,0.4665951000,57308.1500000000,0.0590000000,56139.0600000000,26881.7700000000,0.0000000000,0.8583484000,7.7075000000,1.0125320000,271.3627000000,6254976.0000000000,284.7121000000,6177559.0000000000,485877.9000000000,588441.3000000000,1.1039610000,0.0358101000,0.0279885000,5.8449670000,3779696.0000000000,9.1121260000,9.3557830000,29.3865800000,10.3831500000,96462.1100000000,66765.6000000000,17.3326600000,318.1038000000,2946892.0000000000,0.6404143000,1.0291040000,14.8514900000,391854.1000000000,1495841.0000000000,6688.0000000000,2895191.0000000000,-204490.4000000000,0.6299508000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,106832.5000000000,0.0322801000,3.6324530000,-0.0047992900,0.0547453000,2.0400000000,2.0100000000,6.6156660000,1286.2940000000,0.9947982000,0.9914054000,279.7202000000,6447619.0000000000,281.1829000000,6100985.0000000000,11.3406700000,1.1076440000,261.9212000000,6037348.0000000000,251.2089000000,5450623.0000000000,241.4366000000,5238587.0000000000,35173.7000000000,157.6857000000,83723.4800000000,583.4679000000,140.3936000000,1.1361860000,0.0000000000,24094.6600000000,23766.7800000000,191.8012000000,88.9825100000,10.1003500000,9.9446700000,64.0319200000,7713468.0000000000,5036362.0000000000,0.0623976000,93.5872700000,15.5980900000,24742.8600000000,24130.9900000000,87445.2600000000,84087.7000000000,83733.7900000000,2.0000000000,2.1041670000
