OBS,VNM_CAN_A,VNM_CANOTH_A,VNM_CANRATIO_A,VNM_CLIMLOSS_A,VNM_CMUD_A,VNM_CO2_A,VNM_COALC_A,VNM_CTAX_A,VNM_CTAXR_A,VNM_CXS_A,VNM_CXUD_A,VNM_DEP_A,VNM_EC_A,VNM_EFEX_A,VNM_EFF_A,VNM_ENAB_A,VNM_EXP_A,VNM_EXPE_A,VNM_EXPEB_A,VNM_EXPH_A,VNM_EXPHB_A,VNM_EXPSP_A,VNM_EXPSPB_A,VNM_EXR_A,VNM_FINC_A,VNM_GASC_A,VNM_GCARB_A,VNM_GCARBB_A,VNM_GCARBR_A,VNM_GCARBRB_A,VNM_GCOM_A,VNM_GCR_A,VNM_GDFXSH_A,VNM_GDI_A,VNM_GDN_A,VNM_GDNRATIO_A,VNM_GINI_DISP_A,VNM_GINT_A,VNM_GIP_A,VNM_GLN_A,VNM_GLNRATIO_A,VNM_GLNT_A,VNM_GOTH_A,VNM_GTRADE_A,VNM_GTRADER_A,VNM_HEAD19_A,VNM_HEAD55_A,VNM_HIC_A,VNM_IGR_A,VNM_INFT_A,VNM_INT_A,VNM_IPR_A,VNM_ITAX_A,VNM_ITAXR_A,VNM_ITR_A,VNM_K_A,VNM_LABSH_A,VNM_LFN_A,VNM_LIVES_A,VNM_LNN_A,VNM_LNNF_A,VNM_LOCK_A,VNM_LRX_A,VNM_LTI_A,VNM_MTD_A,VNM_MTN$_A,VNM_MTN_A,VNM_MTR$_A,VNM_MTR_A,VNM_OGC_A,VNM_OGI_A,VNM_OILC_A,VNM_OMS_A,VNM_OXS_A,VNM_PC_A,VNM_PCR_A,VNM_PE_A,VNM_PG_A,VNM_PM25_A,VNM_POIL_A,VNM_POPT_A,VNM_POPWA_A,VNM_PR_A,VNM_PREM_A,VNM_PROF_A,VNM_RC_A,VNM_REFEX_A,VNM_REL_RED_A,VNM_REMIT_A,VNM_REV_A,VNM_REVG_A,VNM_RPDI_A,VNM_SCR_A,VNM_SDLI_A,VNM_SHAREE_A,VNM_SHAREH_A,VNM_SHARESP_A,VNM_SHAREX_A,VNM_SOLV_A,VNM_TAX_A,VNM_TAXR_A,VNM_TECHL_A,VNM_TFP_A,VNM_URX_A,VNM_URXF_A,VNM_USER_A,VNM_WDR_A,VNM_XTD$_A,VNM_XTDNO$_A,VNM_XTN$_A,VNM_XTN_A,VNM_XTR$_A,VNM_XTR_A,VNM_YBAR_A,VNM_YED_A,VNM_YEN$_A,VNM_YEN_A,VNM_YER$_A,VNM_YER_A,VNM_YFT$_A,VNM_YFT_A
2010,0.000000000000001,-1.705000550557790,0.000000000000000,,0.000000000000000,,0.000000000000000,-0.000000000004478,0.014139440005102,-0.047170216569165,0.000000000000000,-0.001264510939085,0.114944960804152,0.000000000000000,,0.000000000000000,0.000000000053730,-1049.348469758310000,360.185252313835000,-7481.327334674540000,6848.672918081590000,-14361.891018744900000,21463.241948352900000,1035.880833333400000,0.000000000000001,0.058504237997358,-20279.567239486800000,,,,-1917.367711754570000,9168.492469003530000,-0.021656662060219,0.000000000035820,74157.205129942900000,-0.000000000000002,0.000264672821476,-0.551329990668800,-1106.438771026570000,-0.000000000011753,0.000000000000000,3.061241317439650,,-0.000000000004478,-0.019899040096329,-3.897785436337220,-12.005601635359000,,24077.242888546700000,0.150000000000000,1.014166666666670,0.075813207863663,0.000000000029104,0.022116157424557,0.000000000053730,0.000000000214920,-0.009649073636090,0.000000000002798,-0.146433407921025,-0.011135972135804,-0.007188309465657,0.000000000000000,0.000100984417398,2.506079985358940,-0.042755651503931,-0.000000000000004,-0.000000000017910,-0.000000000000004,0.016601205497973,8023.091117577550000,-0.051710851585239,0.025565740436184,-0.005418823997803,-0.034832317060233,,0.025189151003503,,,,,875.626000000007000,620.962770132892000,,-14.059166279665800,-1630.340522365450000,,0.000000000000000,3.310103053464440,32609.829722144700000,-0.000000000062685,2787.846878213070000,-0.000000000017910,-80447.561989008200000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-0.000000000000840,0.009024567221374,-0.022066938202272,0.000000000000000,0.000000000000000,0.071222874023318,1.601350156461630,0.000000000000035,-0.009036715909915,0.109673274461573,-0.000000000000004,-0.000000000250741,0.000000000000014,-0.018642136023434,-0.014293990395917,0.017544800488380,-0.000000000000019,0.000000000035820,-0.000000000000004,-0.000000000429842,-0.000000000000004,0.000129837332303
2011,0.000003975475101,-0.212869795308742,0.000000000000000,0.564990854791473,0.000000000000000,-0.035893643176793,0.000000000000000,-0.000000000004478,0.003357021010723,0.002030243826835,0.000000000000000,0.003688350140975,0.111308017929887,0.000000000000000,0.015380810939855,0.000000000000000,-0.058719283788573,-2077.255725014940000,1079.634925874210000,-15203.738447860800000,9550.220574142380000,-30332.372150725400000,23722.850385698600000,1338.445833333300000,0.000000000000001,-0.333788235632647,-26987.179170854300000,-19164.609315751900000,-3.048449005423850,-3.048447288917980,-3642.242800796000000,4764.804764212810000,-0.024200004200687,0.000000000035820,172333.884459062000000,-0.000000000000002,-0.002244158337049,-0.927755383551775,-1929.648100213770000,-0.000000000048133,0.000000000000000,1.667853542140870,21949.643044460100000,-0.000000000004478,-0.010786553597918,-0.093747132971792,-0.260999898820694,0.076419860450625,23026.997099706000000,0.150000000000000,6.084166666666670,-0.124570835011778,-0.000000000004478,0.001506890186378,0.000000000053730,0.000000000214920,0.002746410943844,0.000000000002798,-0.089895527818823,-0.018680678543106,-0.000463038395728,0.000000000000000,0.004654802871194,0.081500653980328,0.066371491094453,-0.000000000000004,0.000000000035820,-0.000000000000004,-0.034253002880360,10299.453172606800000,-0.147968898030171,-0.098963210091196,0.017826378201144,0.008845165843281,0.421181696629400,-0.012555337581234,-0.318937632944698,0.458367568101958,-0.026118510013201,0.608809236855201,903.867000000016000,76.246088476020600,0.000000000000000,7.209699608088600,-0.000000000017910,0.182948636338089,0.000000000000000,3.412845595355600,-5936.089808580890000,-0.003754883418272,-2121.235665471830000,-0.000000000017910,35086.421478906300000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000002798,0.004885859899134,-0.000169386596524,0.000000000000000,-0.000000000000001,-0.073423601138487,1.786662936120040,0.000000000000035,0.022675087735064,0.074906880981730,-0.000000000000004,0.000000000035820,-0.000000000000004,-0.010485530367030,0.017731322045177,0.017716167009107,-0.000000000000004,0.000000000035820,-0.000000000000004,0.190215897465996,-0.000000000000004,-0.009169131790559
2012,-0.000053466487426,-3.743013162556610,0.000000176742395,0.558627640474275,0.000000070150437,-0.047959434405962,0.000000000000000,-0.094148000008373,-0.009847521550727,-0.036120371126365,0.000000428884872,-0.001275568104056,0.014600361464795,-0.000000005614494,0.015380851465945,0.000000000000000,0.000000000116415,-1162.613603795220000,870.343000000001000,-9857.170965312430000,18706.110000000000000,-18809.536961480100000,29484.200000000000000,-297.042499999999000,3.193816515502900,-0.140134998621277,-34651.615648173900000,-21898.380000000000000,-9.113678283494140,-9.113680000000000,1532.852905132030000,-23439.381028979300000,-0.003846459102041,0.020262334887200,62418.380527261000000,-0.000009586158215,-0.002187044314425,0.898802211820449,3443.897609926620000,0.000000000058208,0.000000393891822,-5.666516550000000,35721.928625751900000,0.063227199997287,-0.009443148927523,-0.156021275480771,-0.610555847008921,0.006902554260325,-31157.429382044400000,0.150000000000000,-6.033333300000000,-0.067412824627275,0.017464919192211,-0.025895147918832,0.000000000116415,-0.451351905356582,0.004772718005272,0.004400243997352,-0.069620693659339,-0.019468131695390,0.003859539902099,0.000000000000000,0.003423964089869,-0.740274390303077,-0.025571746368637,0.000058114077204,0.435367999499689,0.000013872568914,-0.018118220679680,26937.227068418200000,0.207130254374194,-0.158458327348692,-0.017962613626786,-0.006746603529030,-0.405414824725384,-0.022068126699256,2.007295719937260,0.204110591184422,-0.037508839167109,0.014037877758675,930.617999999991000,77.037110267729400,0.000000072536236,1.327140079026980,0.204205700167547,0.077125014586840,-0.000000024150952,3.551507984285820,24922.252866388500000,-0.090000000067892,-1956.316241946000000,1.081131308111260,-110398.906446760000000,-0.000000037245695,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.046695294199568,-0.002620620729544,0.009435754531394,0.000000176418536,-0.000003387920697,0.006570898044812,1.780734943075070,0.000067757392475,-0.007553455963705,-0.062131289625704,0.000004647589776,0.181954519069098,-0.000056448044239,0.104364829472373,0.003048612493425,0.015163149454155,-0.000001920491660,-0.321322500272988,-0.000047877221709,0.209999999915142,-0.000036566887052,-0.001187161148960
2013,0.000051559113586,-1.409783242965190,-0.000000287194401,0.562841181516144,0.000000384173129,-0.006722156336240,-0.000000100000000,-0.070828400025135,-0.003408100000000,-0.047282700000000,-0.000000307049594,-0.001905429214855,0.017540943474744,0.000000169771156,0.015380800000000,0.000000000000000,-0.040000000023024,-671.531203169330000,3465.080000000000000,-5129.112202028510000,17522.260000000000000,-9415.863551026040000,25631.500000000000000,-519.420000000003000,3.193820000000000,-0.107561530459422,-11997.543890639900000,64725.920000000000000,23.410310000000000,23.410310000000000,7310.721690588680000,-18044.131024526800000,-0.001261366296509,0.095990432519830,20341.499440230400000,0.000007266728829,0.000592800963953,0.984489000000000,6469.076414087760000,-0.000000000004478,0.000000275113259,-0.830328200000002,-43162.300000000000000,0.100601999991184,-0.001335600000000,0.287122010409418,-0.684976496846157,-0.025984648615814,-12521.303912326400000,0.150000000000000,-1.972500000000000,-0.013842547446352,-0.096871321429896,0.004800100000000,0.000000000053730,-0.052202500890467,0.000142300000000,-0.002095737004577,0.141048132121742,-0.019312763771586,0.001469032872254,0.000000000000000,0.010799550232245,-2.724339000000000,0.012621664527674,-0.000001469134053,0.877891999993940,-0.000034349783026,0.044056870810669,21219.453795798400000,0.068525811726082,-0.081757573059758,-0.021177461407645,-0.021353800000000,-0.452721338492999,-0.031657235990306,-1.393678568451810,-0.071585894617158,-0.002208270068464,-0.066330458287400,950.875000000004000,77.870663640517100,0.000000276735471,52.546433189307600,0.111782999926326,-0.012736910657414,0.000000087460955,3.373873575960850,13910.045000440800000,0.000000000053730,522.765050030274000,-0.997073976321802,-19158.755457736300000,-0.000000037245695,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.078258039384370,-0.003388900000000,0.025896694283450,-0.000000168305200,0.000002512351328,-0.050095086614919,0.528105112499887,-0.000272367234213,-0.026000290413923,-0.016691977712860,0.000050134569476,0.324576546364459,0.000101069117052,0.099083668345432,0.001997950596624,-0.016926197629468,0.000001874514538,-0.077701999711775,0.000000652696059,0.040000000076214,-0.000001416577139,-0.003713088776484
2014,-0.000012596935866,-3.129462589932300,0.000001262099183,0.570796077950659,-0.000000523474571,0.011232137852459,-0.000000300000000,0.075749999980493,-0.022752900000000,-0.013158400000000,-0.000000134497668,-0.002174132022172,0.042103503617318,-0.000000032630395,0.015380800000000,0.000000000000000,-0.000000000017910,-526.772476963602000,277.260000000000000,-4111.635144653880000,4525.399999999990000,-7608.822649646010000,9968.000000000010000,-413.422599999997000,3.193810000000000,-0.103221203301992,-7664.724922752020000,12379.480000000000000,5.133421000000000,5.133421000000000,6611.518679788700000,11782.467319543000000,-0.002547800905700,0.597813116290452,44567.123913187500000,-0.000007267467369,0.000326609560391,0.520002000000000,3449.507326070230000,-0.000000000004478,-0.000000231386825,0.882131450000000,4191.600000000010000,0.035739500005254,0.001990800000000,0.371622041130551,-0.382408029758822,-0.012296715492200,23639.500253406900000,0.150000000000000,-0.474166700000000,0.054440714983272,-0.152163481614142,0.001010400000000,0.100000000079039,0.393364999691489,0.004906400000000,-0.001085044009032,-0.183432428300111,-0.016560818968285,0.000911732633893,0.000000000000000,0.001626246843134,-1.121280000000000,0.008582034462968,0.000030357480624,0.773030000148897,-0.000005486549587,0.042069894596965,4152.308071895490000,-0.074527390882657,-0.071925962831391,-0.003706442984372,-0.008170400000000,-0.156852384812403,-0.013409705108591,-0.314585904232015,0.006077914838246,-0.049457463497634,-0.071395815084916,961.298000000013000,78.680081843389700,-0.000000308924725,-27.110942615320400,0.058424999994322,-0.026662500389139,0.000000023581640,3.823524663016910,14030.778544084900000,0.069999999915498,-474.482225532256000,0.031436205406559,-13124.591426756700000,0.000000012741876,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.094290110777218,-0.001045400000000,-0.001421265019149,0.000000001765000,0.000012432245816,0.022809860551799,0.305487490235639,0.000212091507798,-0.014568734127623,0.004630964424004,0.000017760544750,-0.129843655930367,-0.000027148174160,0.063196955675503,-0.001118737159434,-0.004079778822749,0.000047077737859,-1.815815999545180,0.000050121034631,0.370000000027882,0.000046596404358,0.007946573854153
2015,0.000003929426203,-7.468520054428650,0.000000201352093,0.580244138008044,-0.000000000012251,-0.024239849225444,-0.000000200000000,0.044561299985126,-0.009956900000000,-0.047461500000000,0.000000000025709,-0.001430694271282,0.025351224122458,0.000000074611334,0.015380800000000,0.000000000000000,-0.499999999949588,28.737479539121000,675.699999999999000,247.566970352681000,17463.300000000000000,442.661724382949000,24207.500000000000000,-84.870000000003900,-0.051710000000000,-0.145518845844396,-567.808104541246000,20276.901000000000000,6.083534600000000,6.083534600000000,21478.884589435100000,-19730.968337738200000,-0.006407715152992,0.000000000035820,-47968.312716957900000,-0.000007126936212,-0.000276557792907,0.638191000000000,3829.708043250360000,-0.499999999940400,0.000000792963374,-0.094774150000001,75314.400000000000000,-0.183855999993199,-0.001714600000000,0.248164084383997,0.058909642331209,-0.025748529542665,-19135.882930636500000,0.150000000000000,-0.020833300000001,-0.025764248222672,0.135174000072295,-0.007251100000000,0.099999999962624,-1.947641599835840,0.003745700000000,-0.004760630994526,0.012730931687177,-0.024695647241737,-0.004036382308146,0.000000000000000,-0.000082176540107,-1.000440000000000,0.020078369820783,0.000001063206611,0.000000000035820,0.000011808155591,0.078364872301043,23401.038689226100000,0.131238902428390,-0.036953656630644,-0.016699662712709,-0.025310600000000,-0.111578914518932,-0.002813700419449,-1.128166295600760,-0.137535927044138,-0.076045469691751,-0.205900054100584,963.281999999996000,79.511977330576200,0.000000569732998,-25.050463944599100,0.450362560197474,-0.222298514530540,0.000000074611334,3.858412850576580,27729.654580655700000,-0.071000000012069,1417.739693701680000,-0.499762168765300,63339.007529735300000,0.000000045516786,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.027336306545418,0.001611000000000,-0.008784895621386,0.000000076949500,0.000005862891787,0.063646458886499,0.020602603999902,0.000166879966611,-0.028197671760384,-0.001166480904310,0.000004531751699,-0.433726038887641,-0.000028626061327,0.135954770378376,0.000279535279774,-0.008236059861878,0.000013555757618,0.000000000035820,-0.000005850100114,-0.309999999616004,0.000005089588711,0.003178302245079
2016,-0.000055228402085,-2.933622901770130,0.000000041404995,0.579075453989877,0.000000060472824,-0.060665619255970,0.000000400000000,0.046721899993092,-0.011564800000000,-0.012386400000000,0.000000038193964,-0.001354174368837,0.007118264569461,-0.000000364327863,0.015380800000000,0.000000000000000,-0.009999999943914,-172.475180460000000,471.110000000001000,-1529.006333400000000,7945.700000000000000,-2508.537763800000000,-6087.999999999990000,-359.253175000001000,-0.051720000000000,-0.213042007432227,-786.474661325153000,-624.761000000000000,-0.147056600000000,-0.147056600000000,6853.479571351370000,8220.644203970740000,-0.002718866369535,1.060836155728370,100554.052488874000000,-0.000002969614231,0.002240111442406,-0.164180000000000,-5794.490576494180000,-0.000000000004478,0.000000219887344,1.998720150000000,44576.200000000000000,0.067928000008658,-0.003581300000000,0.102596969038473,-0.462257081440562,0.004923057882867,21010.839143967000000,-0.100000000000000,-0.265833400000000,0.051165620580848,0.244496879572306,0.000795800000000,-0.399999999879125,-0.678869999666166,0.001684100000000,0.002512256003756,0.108385195617763,-0.021264349057252,0.001753221112989,0.000000000000000,-0.001211557581780,-0.157500000000000,-0.015711275071447,0.000008912696614,0.310723999910398,0.000074843580447,0.059855112012573,6901.885322400000000,-0.058156606489446,-0.104795836221608,0.000839911087420,-0.009219100000000,0.004579365422774,-0.010789246862552,-0.084766460497081,-0.007564678263235,-0.082337613412926,-0.004350864036934,963.522000000001000,-256.925827835746000,-0.000000610079981,12.423009305700000,0.343946000017487,-0.008424971525265,0.000000291615625,4.499281573462380,14701.436346333100000,-0.029999999980606,-3758.508163714720000,-0.080865866879260,-21619.998614216700000,0.000000045516786,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-0.035426887291402,0.003012600000000,-0.014287022405265,0.000000076414000,0.000008646743470,0.002977864701672,0.026793508857340,-0.000384225744768,0.000176765381014,0.048484738917898,-0.000045315705483,-0.086647424761508,0.000012028095369,0.108803925680995,0.012062424366714,-0.015576000000000,0.000020378390700,1.950062000275140,0.000048259565913,-0.109999999341320,-0.000004803293852,0.005051293876517
2017,0.000036534485546,-5.924665152069060,-0.000000147510165,0.587735084470449,0.000000052071403,-0.024483832103811,0.000000400000000,0.014454799996801,0.002099400000000,0.029695900000000,-0.000000222975300,-0.001576148375011,0.018271525330290,0.000000238277312,0.015380800000000,0.000000000000000,0.040000000076214,-715.348316318965000,1978.150000000000000,-5799.837795048190000,4276.400000000000000,-10735.438254742800000,36876.200000000000000,-113.284999999998000,-0.051720000000000,-0.272284579049645,-1433.772516136500000,-1849.421000000000000,-0.450504000000000,-0.450504000000000,-9896.523832435820000,20144.396431119200000,-0.004906173602858,1.472054238493390,77295.655277129100000,0.000006226609208,-0.000009599684972,0.141349000000000,-552.792249257167000,0.299999999999226,0.000000182696677,1.395244900000000,61576.500000000000000,-0.157263000005471,-0.003725500000000,0.401193356452878,0.604709854317580,-0.003764311893321,18201.364540215500000,-0.112500000000000,-0.877500000000000,0.005681503613019,0.105882688149034,0.001605100000000,0.399999999987721,-0.425846001232203,-0.006997300000000,0.002739646006455,0.116482085838239,-0.020148030355450,-0.000199285829988,0.000000000000000,0.003954856029123,0.232500000000000,-0.034445117852210,0.000041829201420,0.490446400206787,-0.000069656047804,0.067664996293602,1213.547477119090000,0.029896517111004,-0.103026084799394,0.003665726762958,0.010886700000000,0.020853501597902,-0.008976391144381,-0.433219027858217,0.005321095055837,-0.025096819723406,0.008763769202764,960.484000000000000,-259.549427298718000,0.000000370675275,5.841814150456050,0.567625000050332,0.176789745623365,0.000000182894517,4.306085960955720,4845.537751433080000,-0.318999999891899,-1336.834609335360000,-0.996307438703781,-22700.196942509300000,0.000000045516786,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-0.012545211138899,0.001651900000000,-0.006295641482047,-0.000000171885000,-0.000009940493411,-0.018720860964576,0.045486916970588,-0.000475711492600,-0.001754395366883,0.029299727301934,0.000079128559602,-0.932774139248405,-0.000004414419270,0.083091316664733,0.007642248982105,0.005710438951886,0.000067196466345,1.444480000124840,-0.000016034094476,-0.129999998913765,-0.000023811002511,-0.001066075097128
2018,0.000016051249776,2.258181496741030,0.000000149964704,0.593494622647654,-0.000000319360352,-0.047066960464406,-0.000001000000000,0.083758399996310,0.003741600000000,0.000000000000000,0.000000120565465,-0.001032644997866,0.066254437764321,-0.000000100687869,0.015380800000000,0.000000000000000,-0.000000000017910,-699.810680357042000,3086.240000000000000,-5376.767553576610000,16279.300000000000000,-9136.953168417790000,6137.299999999970000,-271.367024999999000,0.000000000000001,-0.184771498319470,-4838.962972726580000,-9729.119000000000000,-1.885487000000000,-1.885487000000000,-7524.700002403440000,-632.136430822312000,-0.002577125495013,-0.466236170505672,48236.210246160200000,0.000005595940479,-0.000267690018755,0.143287000000000,-126.436886736625000,0.009999999990152,0.000000331872577,1.154576850000000,50086.300000000000000,0.239494999998684,-0.004187400000000,0.428215029320926,0.457645657490446,-0.001842571193613,6606.161298632720000,-0.124999999999999,-1.026666300000000,0.025696141225865,0.008509147987393,-0.000771900000000,-0.000000000017910,1.263951999863500,-0.001122400000000,-0.003139192003187,-0.160047628451496,-0.014448898320301,0.001365068091901,0.000000000000000,0.003146476621765,0.548432000000000,-0.031983393538153,0.000016322413216,0.110627000327872,0.000025394403742,0.045550100693585,11797.578665321300000,0.008808247477698,-0.077216840923400,-0.000806287025508,0.000000000000000,0.010841223019226,-0.006959077219868,-1.176770142150030,0.014040128113912,0.001717817977418,0.020760878778322,945.454000000016000,-262.154246292636000,-0.000001012827508,-20.168678146486100,0.286702999780154,-0.159404410292219,-0.000000099606794,4.883872515005240,4305.830250738650000,0.024999999815264,-319.881057450674000,-0.551635164690954,-95446.798541790400000,-0.000000033655213,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-0.078750255062388,0.002533300000000,-0.015467825772697,-0.000000212560900,0.000012527324628,-0.023106910272823,0.138088075345738,0.000131293828404,0.001617635060017,-0.034483225933950,0.000029373662990,0.679137238192186,0.000048994589987,0.063104297613189,0.004698603225626,-0.001493346877023,0.000013630843199,2.742200000327520,0.000021106074853,-0.300000000764535,-0.000041428011433,0.001437496461298
2019,-0.000027730730777,4.379055682407020,-0.000002547302013,0.596367670742919,-0.000001485390667,-0.040381027255582,-0.000000300000001,-0.006022400065021,-0.000282100000000,0.000000000000000,0.000000442566079,-0.002571478830070,0.046007159417590,-0.000000155016788,0.015380800000000,0.000000000000000,-0.020000000007934,-450.216926317343000,4576.120000000000000,-3490.282018783670000,36902.700000000000000,-5875.458224190910000,59595.300000000000000,-3.850999999998820,0.000000000000001,-0.226613513241569,-2461.127316669560000,6793.815000000000000,1.656900000000000,1.656900000000000,18305.716370379700000,-51391.689184459800000,-0.004904752051218,0.146426379823255,-13697.854065552400000,0.000006063403994,0.000000000000000,0.097791000000000,6597.745753212600000,-0.000000000004478,-0.000000591166187,-2.849739050000000,57096.100000000000000,-0.086067700006492,-0.002310800000000,0.000001912526781,0.000018236681989,-0.007484795314853,-52382.052969027400000,-0.137499999999999,-0.380834000000000,0.098138402254879,0.030839445247274,-0.003683800000000,0.600000000095660,5.415255001255120,0.000000000000000,0.004064959997895,-0.079701673580494,-0.030620133256385,-0.000762680743763,0.000000000000000,-0.001179073612137,1.013821000000000,-0.019363491087492,-0.000027676588151,-0.169387999917248,0.000027629077529,0.046104574273852,50196.823464500300000,0.250540489052314,-0.119326837341485,-0.001851712952209,0.000000000000000,-0.055466398243405,0.002405526705769,-0.519951013702057,-0.001888163485244,-0.011975792016567,-0.019318827457031,916.208999999992000,-264.660672250297000,0.000000257521981,-48.578245782453700,-0.396401310885533,-0.343516786846460,0.000000463513972,4.393877912590720,17687.079483319700000,0.024999999815264,-1234.707099371020000,2.022516177121370,-73305.097494242300000,-0.000000033655213,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-0.115258951268538,0.001608200000000,-0.033507755287715,0.000000107198600,-0.000006526122384,0.197238658578269,0.063432884109866,0.000062347304053,-0.004093713556721,-0.011144053311296,-0.000054539649050,0.220716679608014,-0.000041152780674,0.073015509932627,-0.002780131377456,-0.010966704471601,-0.000064160373137,-1.862212000323580,-0.000095081589000,-0.099999999555097,0.000061168749708,0.008531355720125
2020,0.000179735626526,-0.000033561225637,-0.000002424408007,0.560581762056376,0.000000084640049,0.051237018954850,-0.000000000000001,-0.049436800024342,0.000000000000000,0.000000000000000,0.000000761247610,-0.000000052058618,-0.077182497498639,0.000000072852200,0.015380800000000,0.000000000000000,-0.169999999964480,-118.201503109301000,1103.950000000000000,-916.350614276798000,8558.300000000020000,-1609.729384170340000,29336.900000000000000,-473.384800000001000,0.000000000000001,-0.356132582232526,-2535.745509712690000,-213.208000000000000,0.000000000000000,0.000000000000000,10754.350707575700000,118976.919176333000000,0.000134231492356,-0.633165206488516,-58613.927439804600000,0.000053360932702,0.000002124718392,0.000000000000000,-0.047072651126072,0.299999999984674,-0.000004156743057,-2.797903850000000,-253482.300000000000000,-0.497129000008961,0.000000000000000,0.000001124452266,-0.000057792770842,0.005299016734265,30862.528038314000000,0.100000000000000,-0.265833000000000,-0.038270077655239,-0.661115045841402,0.000000000000000,0.199999999925248,-2.947744999035640,0.000000000000000,0.006916640000010,0.250142768765400,-0.024758287006537,0.000002929374234,57.744100000000000,-0.016930743257643,0.940000000000000,-0.000000018064311,-0.000053415638427,-10.595903999920200,-0.000602269440084,0.031881049036780,-119996.237304856000000,0.038436186002665,-0.293084817918757,0.001047046016326,0.000000000000000,0.000000344624242,0.095486613192256,0.000002989185090,0.000000618009747,-0.025270462130467,-0.000023461025688,876.780000000002000,-267.072809617172000,0.000004089400460,3.710259600912300,0.455576999475349,-0.088855440827401,0.000000401763346,4.151735426502800,0.037616624971916,3.708000000130680,-1531.310103159660000,-2.823462435925160,10153.529888184400000,-0.000000504398446,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-0.752413724898523,0.000000000000000,-0.020441589801726,0.000001660844100,-0.000010130278777,0.000006904821687,0.059975305248551,-0.001659423231812,0.000002748393362,0.010892034492633,0.000140249050944,-15.946133291158700,0.000011778983210,0.117756961879088,-0.000000284651761,-0.030709959638624,-0.000074319923836,-12.969270000047900,0.000042881538502,0.399999998762267,0.000038725728926,0.010173082182287
2021,0.000088054340442,-0.000021244436049,-0.000018742821000,0.596344121209721,0.000000518648911,0.000324814248050,0.000000700000000,0.071187199984264,0.000000000000000,0.000000000000000,0.000001728302374,-0.000000153139882,-0.007973667938246,0.000000664452097,0.015380900000000,0.000000000000000,-5.310000000032380,-69.865553766002800,1438.540000000000000,-542.004333258141000,11152.300000000000000,-964.464866392776000,24675.700000000000000,148.080660000000000,0.000000000000001,-0.071836711499615,-2705.653407460660000,-485.469000000000000,0.000000000000000,0.000000000000000,-10871.969833792000000,58976.860996232000000,-0.006271615577509,-0.242217773554629,-83108.335618256100000,-0.000021426551372,0.000000029131452,-0.000000800000000,0.053094364172830,0.799999999991729,-0.000004286225002,0.624880049999999,-15525.500000000000000,-0.623855600003517,0.000000000000000,-0.000027692912179,-0.000111493707929,-0.004080947180282,10912.869991863100000,0.000000000000000,0.000000200000000,-0.037636166031098,-1.174140191122810,0.000000000000000,0.300000000107206,4.514749999575290,0.000000000000000,0.006529920007858,-0.043213970756583,-0.011064650819288,-0.000000901761060,15.036950000000000,-0.000896598002193,0.000000000000000,-0.000000364915990,0.000233320323764,-17.209592999698800,0.000064194576298,0.022046239907822,-54153.543679598000000,0.050785712976561,-0.028178889832710,0.004864995015358,0.000000000000000,0.000000679753889,0.057880956833010,-0.000007582435012,0.000000951966908,-0.013668784444289,0.000031174832842,830.526861000009000,-240.783948669696000,-0.000000242130174,0.079535416702086,1.247380919088360,0.013460699036001,0.000000438321378,4.146089629687540,-0.562750193064703,2.486999999679150,2582.036379496320000,-11.860926572514200,3742.932739305050000,-0.000000108667274,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-1.393255016006050,0.000000000000000,-0.016758720047111,-0.000000766944900,0.000047687731468,-0.000003431887212,0.061925622535828,-0.002121837841781,-0.000000136427424,0.006893580365355,0.000143118551520,-15.079456985739100,0.000044909867267,0.014697184834838,-0.000003667359110,-0.040397993092303,-0.000105470617199,18.087579999096100,0.000464457275030,-0.199999999279969,-0.000061840173595,-0.006287034421130
